"SortDevDieID","Scribe Lot","Wafer","X","Y","BIN","Test name","Suite name"
"","","","","","6"
T-0000092-09_5_13,"","","","",1
T-0000092-12_15_6,"","","","",1
T-0000092-12_4_3,"","","","",1
T-0000092-01_8_21,"","","","",1
T-0000092-20_3_14,"","","","",1
T-0000093-12_2_16,"","","","",1
T-0000092-09_13_13,"","","","",1
T-0000092-10_15_10,"","","","",1
T-0000092-09_13_19,"","","","",1
T-0000092-23_16_13,"","","","",1
T-0060059-24_5_8,"","","","",1
T-0060059-25_5_9,"","","","",1
T-0060059-02_11_6,"","","","",1
T-0000078-07_13_4,"","","","",1
T-0000078-01_15_7,"","","","",1
T-0060057-01_10_19,"","","","",1
T-0060057-08_16_6,"","","","",1
T-0060055-14_3_11,"","","","",1
T-0060056-20_11_2,"","","","",1
T-0060056-09_14_5,"","","","",1
T-0060056-12_5_9,"","","","",1
T-0060057-06_10_16,"","","","",1
T-0000078-04_15_15,"","","","",2
T-0000078-07_10_21,"","","","",2
T-0000078-03_2_8,"","","","",2
T-0000078-03_10_18,"","","","",2
T-0060057-05_15_5,"","","","",2
T-0060057-03_13_19,"","","","",2
T-0060057-03_12_2,"","","","",2
T-0060058-10_9_3,"","","","",2
T-0060058-21_9_2,"","","","",2
T-0060058-25_15_14,"","","","",2
T-0060057-25_15_14,"","","","",2
